trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2888,False,"{'a': 0.001, 'e': 0.05568747626326995}",25,11,25.967527210765386,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2889,False,"{'a': 0.001, 'e': 0.055631816621465865}",20,12,13.920992963928358,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2890,False,"{'a': 0.001, 'e': 0.05557621261148306}",20,10,16.389146924796478,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2891,False,"{'a': 0.001, 'e': 0.055520664177717505}",20,6,24.782066035484753,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2892,False,"{'a': 0.001, 'e': 0.05546517126462075}",30,12,34.030053833357634,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2893,False,"{'a': 0.001, 'e': 0.055409733816699856}",25,11,26.990626907169137,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2894,False,"{'a': 0.001, 'e': 0.05535435177851743}",30,22,15.803783520189514,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2895,False,"{'a': 0.001, 'e': 0.05529902509469138}",20,10,15.860760009126455,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2896,False,"{'a': 0.001, 'e': 0.055243753709895045}",20,16,11.004080878228427,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2897,False,"{'a': 0.001, 'e': 0.055188537568857}",20,16,9.43632198581427,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2898,False,"{'a': 0.001, 'e': 0.05513337661636114}",20,10,21.4432551772565,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2899,False,"{'a': 0.001, 'e': 0.05507827079724649}",20,0,-0.5006321333089598,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
2900,False,"{'a': 0.001, 'e': 0.05502322005640723}",20,11,18.007004749950053,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2901,False,"{'a': 0.001, 'e': 0.054968224338792594}",25,12,27.264516438896266,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2902,False,"{'a': 0.001, 'e': 0.05491328358940689}",20,14,9.609787086962575,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2903,False,"{'a': 0.001, 'e': 0.05485839775330936}",25,13,23.422916375016992,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2904,False,"{'a': 0.001, 'e': 0.054803566775614154}",20,16,6.260941231369843,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2905,False,"{'a': 0.001, 'e': 0.054748790601490266}",25,13,23.086888605145884,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2906,False,"{'a': 0.001, 'e': 0.05469406917616156}",25,15,12.802928765068554,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
2907,False,"{'a': 0.001, 'e': 0.054639402444906594}",25,7,27.923798283849123,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2908,False,"{'a': 0.001, 'e': 0.054584790353058625}",20,11,12.592289806314387,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
2909,False,"{'a': 0.001, 'e': 0.054530232846005534}",20,8,25.189164914398308,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2910,False,"{'a': 0.001, 'e': 0.05447572986918986}",20,10,18.17072948532024,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2911,False,"{'a': 0.001, 'e': 0.05442128136810859}",20,12,12.159727443519786,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2912,False,"{'a': 0.001, 'e': 0.05436688728831322}",30,16,15.684778208257136,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2913,False,"{'a': 0.001, 'e': 0.05431254757540965}",20,12,15.501336462390988,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2914,False,"{'a': 0.001, 'e': 0.05425826217505821}",20,10,17.723489101287146,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2915,False,"{'a': 0.001, 'e': 0.054204031032973464}",20,15,11.829465109428398,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2916,False,"{'a': 0.001, 'e': 0.05414985409492427}",25,11,24.42221156174974,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2917,False,"{'a': 0.001, 'e': 0.054095731306733646}",25,20,10.899492966737366,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2918,False,"{'a': 0.001, 'e': 0.054041662614278875}",20,9,17.808381818374883,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2919,False,"{'a': 0.001, 'e': 0.05398764796349122}",20,8,23.143112900051108,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2920,False,"{'a': 0.001, 'e': 0.05393368730035602}",20,14,11.585816185688262,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2921,False,"{'a': 0.001, 'e': 0.0538797805709126}",35,23,20.716986606096476,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2922,False,"{'a': 0.001, 'e': 0.05382592772125425}",20,13,12.477742470117182,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2923,False,"{'a': 0.001, 'e': 0.05377212869752812}",30,20,19.88943525132599,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2924,False,"{'a': 0.001, 'e': 0.053718383445935165}",20,13,12.776718777612476,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2925,False,"{'a': 0.001, 'e': 0.05366469191273011}",35,18,34.06057641526864,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2926,False,"{'a': 0.001, 'e': 0.053611054044221465}",20,9,18.40044740261531,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2927,False,"{'a': 0.001, 'e': 0.053557469786771325}",30,8,15.945588921006742,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
2928,False,"{'a': 0.001, 'e': 0.05350393908679544}",25,11,24.072774563728608,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2929,False,"{'a': 0.001, 'e': 0.05345046189076308}",25,13,24.62122793487609,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2930,False,"{'a': 0.001, 'e': 0.053397038145197084}",25,13,9.453280687750325,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
2931,False,"{'a': 0.001, 'e': 0.05334366779667368}",20,10,17.24584708184206,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2932,False,"{'a': 0.001, 'e': 0.053290350791822524}",20,14,9.605520766274015,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2933,False,"{'a': 0.001, 'e': 0.05323708707732657}",30,21,16.415684904132213,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2934,False,"{'a': 0.001, 'e': 0.05318387659992216}",20,5,13.21884616101957,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
2935,False,"{'a': 0.001, 'e': 0.05313071930639878}",20,8,13.95916333628258,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
2936,False,"{'a': 0.001, 'e': 0.053077615143599134}",20,14,12.957521203677668,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2937,False,"{'a': 0.001, 'e': 0.05302456405841903}",20,13,12.349675274952169,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2938,False,"{'a': 0.001, 'e': 0.052971565997807425}",30,7,40.31145998759856,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
2939,False,"{'a': 0.001, 'e': 0.052918620908766235}",25,8,-22.704432012870235,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
2940,False,"{'a': 0.001, 'e': 0.05286572873835037}",20,10,14.428858728991248,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
2941,False,"{'a': 0.001, 'e': 0.05281288943366762}",25,15,18.697369145937547,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
